   0.0000000e+00   5.0000000e+00   5.0000000e+00   5.0000000e+00
   1.0000000e-02   5.0530195e+00   6.0952524e+00   5.1433203e+00
   2.0000000e-02   5.2045180e+00   7.1951857e+00   5.3440918e+00
   3.0000000e-02   5.4473523e+00   8.3166034e+00   5.6110083e+00
   4.0000000e-02   5.7763685e+00   9.4729221e+00   5.9558887e+00
   5.0000000e-02   6.1867803e+00   1.0675493e+01   6.3937030e+00
   6.0000000e-02   6.6743076e+00   1.1933007e+01   6.9425423e+00
   7.0000000e-02   7.2372503e+00   1.3247593e+01   7.6239280e+00
   8.0000000e-02   7.8748944e+00   1.4616321e+01   8.4624902e+00
   9.0000000e-02   8.5848918e+00   1.6028808e+01   9.4845840e+00
   1.0000000e-01   9.3631813e+00   1.7466780e+01   1.0718194e+01
   1.1000000e-01   1.0203710e+01   1.8904683e+01   1.2191062e+01
   1.2000000e-01   1.1098209e+01   2.0304648e+01   1.3927115e+01
   1.3000000e-01   1.2036889e+01   2.1607375e+01   1.5954179e+01
   1.4000000e-01   1.3004143e+01   2.2745452e+01   1.8281423e+01
   1.5000000e-01   1.3978121e+01   2.3644705e+01   2.0896839e+01
   1.6000000e-01   1.4930724e+01   2.4224200e+01   2.3767239e+01
   1.7000000e-01   1.5827925e+01   2.4396715e+01   2.6838551e+01
   1.8000000e-01   1.6635060e+01   2.4085090e+01   3.0029257e+01
   1.9000000e-01   1.7308361e+01   2.3234366e+01   3.3208934e+01
   2.0000000e-01   1.7807066e+01   2.1827533e+01   3.6239698e+01
   2.1000000e-01   1.8097975e+01   1.9890637e+01   3.8985304e+01
   2.2000000e-01   1.8155502e+01   1.7492194e+01   4.1311147e+01
   2.3000000e-01   1.7963657e+01   1.4747182e+01   4.3102101e+01
   2.4000000e-01   1.7519223e+01   1.1821042e+01   4.4302815e+01
   2.5000000e-01   1.6833713e+01   8.8684115e+00   4.4902926e+01
   2.6000000e-01   1.5933697e+01   6.0231458e+00   4.4933381e+01
   2.7000000e-01   1.4859992e+01   3.3985587e+00   4.4466544e+01
   2.8000000e-01   1.3654199e+01   1.0829337e+00   4.3609677e+01
   2.9000000e-01   1.2360330e+01  -8.7891660e-01   4.2472471e+01
   3.0000000e-01   1.1020508e+01  -2.4783309e+00   4.1157037e+01
   3.1000000e-01   9.6724328e+00  -3.7373469e+00   3.9755092e+01
   3.2000000e-01   8.3478708e+00  -4.6913880e+00   3.8333188e+01
   3.3000000e-01   7.0716348e+00  -5.3841475e+00   3.6940395e+01
   3.4000000e-01   5.8617252e+00  -5.8626688e+00   3.5609421e+01
   3.5000000e-01   4.7304854e+00  -6.1727929e+00   3.4358809e+01
   3.6000000e-01   3.6837224e+00  -6.3534463e+00   3.3195197e+01
   3.7000000e-01   2.7235503e+00  -6.4385524e+00   3.2119588e+01
   3.8000000e-01   1.8497950e+00  -6.4567233e+00   3.1129530e+01
   3.9000000e-01   1.0599944e+00  -6.4312592e+00   3.0219124e+01
   4.0000000e-01   3.4937572e-01  -6.3803699e+00   2.9379964e+01
   4.1000000e-01  -2.8826805e-01  -6.3177433e+00   2.8605330e+01
